counterId,opponentTeam,counterTeam,isHardCounter,battleType,description,video
501ST-v-GALACTIC_REPUBLIC_C3PO,501ST,GALACTIC_REPUBLIC_C3PO,FALSE,5v5,"Highly recommended to use against a 7 Relic General Skywalker.  All zetas needed, except C-3PO's not Galactic Republic faction zetas.  Protection up being counted as courage, critical hit immunity, and high single target damage are the perks to using this team.  Follow the general strategy, and hopefully by the time you have General Skywalker alone, you hopefully have enough Courage to kill him with big hits.",https://www.youtube.com/watch?v=-NqDKeVHZCY&t=34s
501ST-v-SITH_EMPIRE_W_MALAK,501ST,SITH_EMPIRE_W_MALAK,FALSE,5v5,"Try to keep Fear on General Skywalker.  Keep Dark Infusion on Darth Malak as much as possible to boost his damage output to quickly take out the Clone Troopers after you knock Gen. Skywalker down.  If you can't kill all of the Clones and Ahsoka fast enough and Gen. Skywalker goes into taunt mode more than one time, you will more than likely lose.  With Bastila Shan (Fallen), use Fear over Shock.  With Darth Revan, be careful not to use Wild Lightning if you feel it will kill a Clone Trooper before CT-5555 ""Fives"" dies, or else he'll sacrifice himself and buff the team.",https://www.youtube.com/watch?v=-NqDKeVHZCY&t=34s
501ST-v-REBELS_CLS,501ST,REBELS_CLS,FALSE,5v5,Must match Gear and Relics for this to work.,https://www.youtube.com/watch?v=-NqDKeVHZCY&t=34s
501ST-v-SEP_DROIDS,501ST,SEP_DROIDS,FALSE,5v5,,
501ST_3v3-v-REBELS_CLS_3v3,501ST_3v3,REBELS_CLS_3v3,TRUE,3v3,,
501ST_3v3-v-SITH_EMPIRE_3v3_WO_MALAK,501ST_3v3,SITH_EMPIRE_3v3_WO_MALAK,FALSE,3v3,,
501ST_3v3-v-GALACTIC_REPUBLIC_3v3,501ST_3v3,GALACTIC_REPUBLIC_3v3,FALSE,3v3,,
BH_BOSSK-v-JTR,BH_BOSSK,JTR,TRUE,5v5,"R2-D2 recommended.  Kill B2 Battle Droid first (if present), then Boba Fett next.  Use Rey (Jedi Training)'s dispel/turn meter reduction on Bossk.  For JTR's assist attack, always call BB-8 (if he has Rolling with the Punches zeta) because he will call another Resistance ally to assist.",
BH_BOSSK-v-REBELS_CLS,BH_BOSSK,REBELS_CLS,TRUE,5v5,"Chewbacca recommended.  A fast Chirrut Îmwe is useful to apply tenacity up ASAP.  Kill Boba first.  If they are using Enfys Nest, stun her with Han Solo.",
BH_BOSSK-v-JEDI_BASTILA,BH_BOSSK,JEDI_BASTILA,TRUE,5v5,"Best counter.  No debuffs can stick.  Kill Boba Fett first.  Remember Boba Fett and Jango Fett will revive.  If they are using Enfys Nest, kill her last.",
BH_BOSSK-v-CLONES_SHAAKTI,BH_BOSSK,CLONES_SHAAKTI,TRUE,5v5,,https://www.youtube.com/watch?v=QhwRfO6Wjl0&t=255s
BH_BOSSK-v-GEONOSIANS,BH_BOSSK,GEONOSIANS,TRUE,5v5,,https://www.youtube.com/watch?v=padGqYGVRoI&t=327s
BH_BOSSK-v-IT,BH_BOSSK,IT,FALSE,5v5,"Make sure Colonel Starck goes first.  Focus on the weakest enemy first to get the turn meter rolling to be able to use Death Trooper's Deathmark ASAP.  Deathmark will negate Boba Fett's revive!  If Colonel Starck can't go before Bossk, and Bossk has his Unique Zeta - you need 2 dispels to starting working on the weaker Bounty Hunters (risky, but doable).",
BH_BOSSK-v-FO_KRU,BH_BOSSK,FO_KRU,FALSE,5v5,"Kylo Ren (Unmasked) and First Order Stormtrooper defend your weak characters, which delay's the contract.  Stun Bossk with Kylo Ren (Unmasked), which gives you two turns to kill 1-3 weaker Bounty Hunters.  If your Kylo Ren (Unmasked) is slower than Bossk, use First Order Officer; Kylo Ren; and First Stormtrooper to give turn meter to Kylo Ren (Unmasked) to make sure Bossk is stunned.",
BH_BOSSK-v-EP,BH_BOSSK,EP,FALSE,5v5,"Use ability blocks and stuns to cripple the Bounty Hunters. Ability block priority is Bossk (to stop his taunt), then Boba Fett (to stop/delay his ability block), then anyone else who isn't initially stunned by Emperor Palpatine's shock.  Fracture Bossk if you have Grand Admiral Thrawn and focus on Jango Fett and Boba Fett first.",
BH_BOSSK_3v3-v-JTR_DROIDS_3v3,BH_BOSSK_3v3,JTR_DROIDS_3v3,TRUE,3v3,,
BH_BOSSK_3v3-v-FO_KRU_3v3,BH_BOSSK_3v3,FO_KRU_3v3,FALSE,3v3,,
BH_JANGO-v-CLONES_SHAAKTI,BH_JANGO,CLONES_SHAAKTI,TRUE,5v5,,https://www.youtube.com/watch?v=QhwRfO6Wjl0&t=255s
BH_JANGO-v-JEDI_BASTILA,BH_JANGO,JEDI_BASTILA,TRUE,5v5,"Best counter.  No debuffs can stick.  Kill Boba Fett first.  Remember Boba Fett and Jango Fett will revive.  If they are using Enfys Nest, kill her last.",
BH_JANGO-v-REBELS_CLS,BH_JANGO,REBELS_CLS,TRUE,5v5,,
BH_JANGO-v-GALACTIC_REPUBLIC,BH_JANGO,GALACTIC_REPUBLIC,TRUE,5v5,,
BH_JANGO-v-GEONOSIANS,BH_JANGO,GEONOSIANS,TRUE,5v5,,https://www.youtube.com/watch?v=padGqYGVRoI&t=327s
CLONES_SHAAKTI-v-SEP_DROIDS,CLONES_SHAAKTI,SEP_DROIDS,TRUE,5v5,B2 Super Battle Droid's constant buff dispel and buff immunity are necessary to shut down Shaak Ti's mass buffs.  General Grevious' zeta lead is helps stop counter attacks from target-locked enemies.,https://www.youtube.com/watch?v=QhwRfO6Wjl0&t=255s
CLONES_SHAAKTI-v-REBELS_CLS,CLONES_SHAAKTI,REBELS_CLS,TRUE,5v5,"Keep CT-7567 ""Rex"" and Shaak Ti stunned.  Start the match by stunning Rex first, although it feed's Shaak Ti's turn meter it'll also delay the mass tenacity buff/turn meter/cleanse.  Use C-3PO's confuse as a daze to stop the counters and assists.  Be careful to kill CT-5555 ""Fives"" before CT-21-0408 ""Echo"" dies.",https://www.youtube.com/watch?v=QhwRfO6Wjl0&t=255s
CLONES_SHAAKTI-v-GALACTIC_REPUBLIC,CLONES_SHAAKTI,GALACTIC_REPUBLIC,TRUE,5v5,"The Clones don't have much of a way to dispel all of the protection up from a Padmé led team.  Padmé's leadership and unique abilities work well against this team, as the Clones' assists will give their target extra protection, which gets converted to Courage on their turn.  Eventually with enough Courage, your characters will be able to one-shot the Clones to win the match.",https://www.youtube.com/watch?v=QhwRfO6Wjl0&t=255s
CLONES_SHAAKTI-v-JTR,CLONES_SHAAKTI,JTR,TRUE,5v5,The turn meter gain and crowd control will make this a more manageable fight.  Use R2-D2's stealth to subvert the Clones' counter attacks.,
CLONES_SHAAKTI-v-JEDI_REVAN,CLONES_SHAAKTI,JEDI_REVAN,TRUE,5v5,"Use Jedi Knight Revan's Direct Focus to Mark Shaak-Ti and take her out first.  If CT-5555 ""Fives"" has his zeta, you should consider taking him second or maybe even first, depending on the situation.",https://www.youtube.com/watch?v=QhwRfO6Wjl0&t=255s
