id,name,type,leaderName,toon2Name,toon3Name,toon4Name,toon5Name,subs,description,counterStrategy,leaderReq,toon2Req,toon3Req,toon4Req,toon5Req,offensiveCounterNum,defensiveCounterNum,stratNeeded
501ST,501st (Gen. Skywalker L),both,General Skywalker,Ahsoka Tano,"CT-7567 ""Rex""","CT-21-0408 ""Echo""","CT-5555 ""Fives""","(no subs, this team comp is used for a specific purpose)",,"You first want to knock down General Skywalker, then take out the clones as fast as possible.  Defeat CT-5555 ""Fives"" first, before he can sacrifice himself with his Tactical Awareness zeta.  Next take out CT-7567 ""Rex"", CT-24-0408 ""Echo"", Ahsoka Tano, then General Skywalker last.",TRUE,TRUE,TRUE,TRUE,TRUE,0,4,FALSE
501ST_3v3,501st (Gen. Skywalker L),defense,General Skywalker,Ahsoka Tano,ARC Trooper,,,,,,TRUE,TRUE,,,,0,3,TRUE
BH_BOSSK_3v3_BOBACAD,Bounty Hunters (Bossk L w/ Boba and Cadd),both,Bossk,Boba Fett,Cad Bane,,,,,,TRUE,TRUE,TRUE,,,,,
BH_BOSSK,Bounty Hunters (Bossk L),defense,Bossk,Boba Fett,Dengar,Jango Fett,,"Any leftover Bounty Hunters, B2 Super Battle Droid, zBarriss Offee, L3-37","Hard to kill defensive lead with protection/health recovery, high defense, and protection bonuses to all BH.","The contract is exploitable, you can slow activation of their payouts by using taunters.  Focus on the weaker guys first (low HP+ Protection) so dispellers are must.  Need good damage and turn meter gains to kill fast.  Kill order: Boba Fett, Jango Fett, and other Bounty Hunters, Bossk, then Dengar last.",TRUE,TRUE,TRUE,,,8,8,FALSE
BH_BOSSK_3v3,Bounty Hunters (Bossk L),both,Bossk,Boba Fett,Dengar,,,,,,TRUE,TRUE,TRUE,,,,,
BH_JANGO,Bounty Hunters (Jango L),defense,Jango Fett,Bossk,Boba Fett,Dengar,Zam Wesell,"Any leftover Bounty Hunters, Enfys Nest, L3-37",,"The contract is exploitable, you can slow activation of their payouts by using taunters.  Focus on the weaker guys first (low HP+ Protection) so dispellers are must.  Need good damage and turn meter gains to kill fast.  Kill order: Boba Fett, Jango Fett, and other Bounty Hunters, Bossk, then Dengar last.  Look at Bounty Hunters (Bossk L) for additional counter options.",TRUE,TRUE,TRUE,,,10,5,FALSE
CLONES_CODY,Clones (Cody L),offense,"CC-2224 ""Cody""",Clone Sergeant - Phase I,"CT-7567 ""Rex""","CT-21-0408 ""Echo""","CT-5555 ""Fives""","(no subs, this team comp is used for a specific purpose)",,,TRUE,TRUE,TRUE,TRUE,TRUE,2,0,FALSE
CLONES_SHAAKTI,Clones (Shaak Ti L),offense,Shaak Ti,Clone Sergeant - Phase I,"CT-7567 ""Rex""","CT-21-0408 ""Echo""","CT-5555 ""Fives""","CC-2224 ""Cody"", Barriss Offee, Ahsoka Tano, R2-D2",High synergy team with tons of assists and health/protection regeneration when attacking out of turn.  ,"You need to kill CT-5555 ""Fives"" before you kill any other 501st clones, or else you'll super charge this team.",TRUE,TRUE,,,,11,7,FALSE
CLONES_SHAAKTI_3v3,Clones (Shaak Ti L),both,Shaak Ti,"CT-7567 ""Rex""","CT-5555 ""Fives""",,,,,"Kill order: CT-5555 ""Fives"", CT-7567 ""Rex"", Shaak Ti",TRUE,TRUE,TRUE,,,,,
SION_SOLO,Darth Sion (solo),offense,Darth Sion,,,,,,,,TRUE,,,,,1,0,FALSE
VADER_3v3,Darth Vader L,defense,Darth Vader,Mission Vao,Zaalbar,,,,,,TRUE,,,,,,,
VADER_3v3_GEOKILL,Darth Vader L (Geo Killer),defense,Darth Vader,Sith Trooper,Darth Sidious,,,,,,TRUE,TRUE,TRUE,,,,,
DK_ANTI_REBEL,Director Krennic (Anti-Rebel),offense,Director Krennic,Death Trooper,Shoretrooper,Range Trooper,Colonel Starck,"Enfys Nest, Wampa, Stormtrooper",,,TRUE,TRUE,TRUE,TRUE,,1,0,FALSE
DROIDS_ANTI_JEDI_3v3,Droids (Anti-Jedi),offense,HK-47,IG-88,L3-37,,,,,,TRUE,,,,,,,
DROIDS_ANTI_MALAK,Droids (Anti-Malak),offense,IG-88,General Grievous,BB-8,T3-M4,L3-37,"R2-D2, Chopper, Imperial Probe Droid",,,TRUE,,,,,2,0,FALSE
EMPIRE_TARKIN_3v3,Empire (Tarkin L),offense,Grand Moff Tarkin,TIE Fighter Pilot,Death Trooper,,,,,,TRUE,TRUE,TRUE,,,,,
EMPIRE_THRAWN_3v3,Empire (Thrawn L),offense,Grand Admiral Thrawn,,,,,,,,TRUE,,,,,,,
NEST_SOLO,Enfys Nest (solo),offense,Enfys Nest,,,,,"Qi'ra (L), Hermit Yoda",,,TRUE,,,,,9,0,FALSE
EP_ANTI_REBEL,EP (Anti-Rebel),offense,Emperor Palpatine,Shoretrooper,Director Krennic,Death Trooper,Wampa,"Enfys Nest, Range Trooper, Stormtrooper, Colonel Starck",,,TRUE,TRUE,TRUE,TRUE,,1,0,FALSE
EP_ANTI-TRAYA,EP (Anti-Traya),offense,Emperor Palpatine,Darth Vader,Grand Moff Tarkin,Death Trooper,Imperial Probe Droid,"(no subs, this team comp is used for a specific purpose)",,,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,FALSE
EP_TRIO,EP (Sith Triumvirate),offense,Emperor Palpatine,Darth Traya,Darth Nihilus,Darth Sion,Grand Admiral Thrawn,"(no subs, this team comp is used for a specific purpose)",,,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,FALSE
EP_TRAYA,EP (w/ Traya),offense,Emperor Palpatine,Darth Traya,Darth Nihilus,Sith Empire Trooper,,"Another pre-taunting Tank for Sith Empire Trooper, Darth Vader, Bastila Shan (Fallen), Darth Revan",,,TRUE,TRUE,TRUE,,,1,0,FALSE
EP,EP L,both,Emperor Palpatine,Darth Vader,Grand Moff Tarkin,TIE Fighter Pilot,Imperial Probe Droid,"Count Dooku, Death Trooper, Director Krennic","Fast, offensive lead. Built on debuffs and lot of turn meter gain.","Stop the turn meter gain with daze, high tenacity, and/or outspeed them.  Kill order: Grand Admiral Thrawn or Emperor Palpatine, Grand Moff Tarkin or TIE Fighter Pilot, Darth Vader.",TRUE,TRUE,,,,9,9,FALSE
EP_3v3,EP L,defense,Emperor Palpatine,Darth Vader,Sith Empire Trooper,,,,,,TRUE,,,,,,,
EP_3v3_BSFSET,EP L (w/ BSF and SET),offense,Emperor Palpatine,Bastila Shan (Fallen),Sith Empire Trooper,,,,,,TRUE,TRUE,TRUE,,,,,
EP_MALAK_3v3,EP L (w/ Malak),defense,Emperor Palpatine,Bastila Shan (Fallen),Darth Malak,,,,,,TRUE,,,,,,,
EWOKS,Ewoks,both,Chief Chirpa,Wicket,Ewok Elder,Paploo,Logray,"C-3PO, Ewok Scout, Teebo","Crit team with lot of assists, buffs, and usually daze and revive. High TM gain from Chief Chirpa's zeta lead.",,TRUE,TRUE,TRUE,TRUE,,4,15,TRUE
EWOKS_3v3,Ewoks,defense,Chief Chirpa,Paploo,Wicket,,,,,,TRUE,,,,,,,
EWOKS_C3PO,Ewoks (w/ C-3PO),both,Chief Chirpa,Wicket,Ewok Elder,Paploo,C-3PO,"(no subs, this team comp is used for a specific purpose)",,,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,FALSE
FO_HUX_3v3,First Order (Hux L),offense,General Hux,Sith Trooper,First Order Officer,,,,,,TRUE,,,,,,,
FO_KRU,First Order (KRU L),defense,Kylo Ren (Unmasked),Kylo Ren,First Order Executioner,First Order Officer,First Order Stormtrooper,"Enfys Nest, zBarriss Offee, Captain Phasma, First Order SF TIE Pilot","Synergy team with counter attacking, dispelling (or loving the debuffs), healing + protection recovery, and high crit damage.","Avoid getting countered frequently (daze/attack from stealth and assists), dont rely on debuffs, and deal damage that surpass their heals with single big-hitters or turn meter gains.  Kill order: First Order Executioner, First Order Officer, First Order TIE Pilot.",TRUE,TRUE,TRUE,,,8,12,FALSE
FO_KRU_3v3,First Order (KRU L),defense,Kylo Ren (Unmasked),Kylo Ren,First Order Executioner,,,,,,TRUE,,,,,,,
GALACTIC_REPUBLIC,Galactic Republic,defense,Padmé Amidala,Jedi Knight Anakin,Ahsoka Tano,General Kenobi,Barriss Offee,"Grand Master Yoda, C-3PO, CT-7567 ""Rex"", Clone Wars Chewbacca, CT-5555 ""Fives"",","Super tanky team, immunity to debuffs (with many options to dispel), protection-up spamming, damage based on % of target's health, and benefits when enemies attack out of turn.","Buff immunities (+Isolate + Fracture + zeta Imperial Probe Droid) to deny buffing and stacking of protection-up and bonus % damage.  Kill order: Padmé Amidala, Jedi Knight Anakin.",TRUE,TRUE,TRUE,,,10,5,FALSE
GALACTIC_REPUBLIC_3v3,Galactic Republic,both,Padmé Amidala,Jedi Knight Anakin,General Kenobi,,,,,,TRUE,TRUE,TRUE,,,,,
GALACTIC_REPUBLIC_3v3_PADMEANAKINAHSOKA,Galactic Republic (w/ Anakin and Ahsoka),offense,Padmé Amidala,Jedi Knight Anakin,Ahsoka Tano,,,,,"Kill order: Anakin, Ahsoka, Padmé",TRUE,TRUE,TRUE,,,,,
